Query_ID,Num_Words,Complexity,Word1,Word2,Word3,Word4,Word5,Word6,Word7,Word8,Word9,Word10
1,2,medium,army,demanded,,,,,,,,
2,7,easy,experiences,difficult,believed,fuck,lock,school,mixed,,,
3,9,medium,hanging,few,collect,sheriff,accident,landed,expensive,aids,isolated,
4,10,hard,side,ben,vincent,knight,picture,features,tour,fame,identify,kerry
5,8,medium,reaction,opera,throat,gained,civilization,lonely,many,ensure,,
6,10,hard,spirits,cable,pig,sons,wing,frightened,celebrate,repair,effective,remains
7,9,hard,rifle,bus,bomb,models,curriculum,conservative,tax,adult,coffin,
8,3,hard,cat,prepare,fees,,,,,,,
9,3,easy,happily,ties,club,,,,,,,
10,9,hard,audience,lot,election,narrow,cover,eyes,guess,every,sunday,
11,9,easy,wealth,reaction,stanley,events,missile,drain,game,centers,cameron,
12,3,easy,leonard,machines,mothers,,,,,,,
13,7,hard,facing,strength,engaged,refrigerator,damage,presidential,subtle,,,
14,10,medium,human,wars,example,schools,acknowledged,drivers,mixture,respect,upset,raw
15,2,easy,demonstrated,huge,,,,,,,,
16,4,easy,wondering,inch,service,encounter,,,,,,
17,10,easy,unit,lots,completely,wounded,rocky,spread,baking,guide,feeling,observed
18,10,hard,depth,lily,grew,funny,ben,lisa,customer,contact,thousands,shoe
19,9,medium,online,stack,cape,tuesday,thighs,artist,joined,dana,hell,
20,10,hard,h,steel,disaster,affect,mount,comment,force,french,strong,drivers
21,5,easy,communications,sweater,bodies,crazy,limited,,,,,
22,9,easy,seemingly,offer,repeat,formal,military,nursing,guide,tradition,involved,
23,7,hard,athletic,ours,nick,bowl,abortion,peers,speaker,,,
24,4,easy,castle,wears,rush,male,,,,,,
25,2,hard,height,slender,,,,,,,,
26,6,hard,often,lined,cash,critics,seen,split,,,,
27,10,easy,destruction,permanent,ears,assembly,surgery,cases,citizens,bones,gathering,demanded
28,10,medium,stumbled,ridge,jay,roman,frank,abuse,wireless,friend,equal,makeup
29,4,hard,speech,thrown,expand,exception,,,,,,
30,2,hard,knocking,season,,,,,,,,
31,8,easy,significant,fashion,producer,buried,tiger,wing,joy,self,,
32,5,easy,ticket,uncomfortable,immediate,literature,athletes,,,,,
33,10,easy,revealing,pipe,quit,scheduled,guide,neat,tiger,describe,never,impression
34,8,medium,business,interested,beings,meetings,free,blend,basketball,slight,,
35,3,hard,marks,sister,familiar,,,,,,,
36,3,easy,glass,freedom,settlement,,,,,,,
37,5,medium,climate,received,pen,encourage,league,,,,,
38,6,easy,section,aircraft,worth,call,direct,best,,,,
39,3,hard,ladies,bonds,smoking,,,,,,,
40,5,hard,ordinary,sox,writers,birthday,student,,,,,
41,10,hard,itself,clean,bother,threats,destroyed,resolution,canvas,courage,wildlife,william
42,9,easy,relationship,wives,join,estimates,preparing,control,adams,along,day,
43,8,medium,successfully,pistol,attack,polished,stadium,federal,sunlight,lies,,
44,5,medium,sure,detailed,post,basically,emotions,,,,,
45,8,easy,course,achieved,lou,displayed,twins,attacks,muslim,nick,,
46,7,hard,tales,spell,crowd,nations,problem,upset,fire,,,
47,4,medium,managing,beautiful,expensive,promote,,,,,,
48,2,medium,rates,appropriate,,,,,,,,
49,2,medium,cotton,murder,,,,,,,,
50,5,easy,impression,mild,level,fashion,sounds,,,,,
51,2,easy,piano,girl,,,,,,,,
52,3,hard,stretch,liberal,broad,,,,,,,
53,3,medium,louis,nba,therefore,,,,,,,
54,4,easy,feeding,permanent,star,doc,,,,,,
55,3,easy,waves,future,scenes,,,,,,,
56,4,medium,tune,horror,commercial,athletes,,,,,,
57,7,easy,adult,smiling,fish,battles,quick,figure,creating,,,
58,7,easy,stern,full,bar,matters,humor,cool,show,,,
59,6,hard,concrete,nor,absence,edward,brain,strike,,,,
60,3,easy,tended,share,ben,,,,,,,
61,2,hard,wait,opportunity,,,,,,,,
62,5,hard,afraid,serving,brown,tissue,peace,,,,,
63,8,medium,survival,breast,henry,accident,americans,brother,trial,planned,,
64,6,easy,baghdad,spin,resistance,police,busy,pair,,,,
65,7,hard,prize,civilization,fred,issue,cameron,previously,stayed,,,
66,3,medium,name,carrying,belt,,,,,,,
67,6,medium,roll,creature,lesson,incredible,sleeping,inner,,,,
68,2,medium,healing,bones,,,,,,,,
69,6,medium,directed,story,saved,knowledge,twins,middle,,,,
70,3,easy,plane,handful,tournament,,,,,,,
71,9,easy,james,eve,bottom,alfred,fitness,likes,fourth,keeping,afghanistan,
72,3,medium,sheet,state,ribs,,,,,,,
73,7,medium,guessed,lawyers,fundamental,serious,loves,confidence,develop,,,
74,10,hard,youngest,weekend,important,examples,panic,oven,directions,cards,barbara,wore
75,4,medium,suspect,performing,retail,crazy,,,,,,
76,4,hard,companies,punishment,fight,divided,,,,,,
77,5,medium,count,alike,treated,touched,error,,,,,
78,2,hard,baker,fought,,,,,,,,
79,4,easy,delivery,prepare,killing,strangers,,,,,,
80,3,medium,practically,cousins,equivalent,,,,,,,
81,7,medium,internet,include,really,september,based,parking,chips,,,
82,6,easy,priest,communications,cells,regarded,jordan,republic,,,,
83,7,hard,loudly,represent,suits,garage,fred,breathe,industrial,,,
84,5,medium,entry,cycle,forth,peers,dramatic,,,,,
85,10,medium,seventeen,displayed,tradition,widely,head,hitting,based,previously,teaching,thompson
86,6,hard,structures,girlfriend,fancy,guide,rachel,laura,,,,
87,4,medium,replaced,human,acts,ai,,,,,,
88,3,hard,multiple,sharp,taxes,,,,,,,
89,8,medium,investigators,odd,technologies,peace,promised,cut,sole,factors,,
90,7,hard,suspected,remaining,presents,familiar,forms,describe,ordered,,,
91,8,hard,l,pad,raising,liked,short,spin,stroke,nodded,,
92,10,easy,imagine,abruptly,variety,bed,next,everyday,ethnic,inspired,worst,sisters
93,9,easy,meant,keeping,raymond,m,closet,related,strikes,bird,steel,
94,9,hard,attack,ears,ordered,suburban,directions,budget,pennsylvania,frame,annual,
95,7,hard,amy,require,princess,henry,russell,august,inside,,,
96,4,medium,wild,places,documents,gore,,,,,,
97,2,hard,contest,letter,,,,,,,,
98,2,medium,torn,musicians,,,,,,,,
99,2,medium,spend,importance,,,,,,,,
100,7,hard,marketing,william,cage,champagne,information,afternoon,die,,,
